"date","follower","newfollower","following","newfollowing","post","newpost"
"2019-11-30","17799112","","997","","12.193",""
"2019-12-01","17811612","+12500","997","0","12.198","+5"
"2019-12-02","17815041","+3429","997","0","12.199","+1"
"2019-12-03","17839655","+24614","997","0","12.209","+10"
"2019-12-04","17849434","+9779","998","+1","12.215","+6"
"2019-12-05","17835874","-13560","997","-1","12.217","+2"
"2019-12-06","17845484","+9610","999","+2","12.221","+4"
"2019-12-07","17853426","+7942","998","-1","12.227","+6"
"2019-12-08","17866137","+12711","998","0","12.233","+6"
"2019-12-09","17878584","+12447","998","0","12.239","+6"
"2019-12-10","17880182","+1598","998","0","12.239","-"
"2019-12-11","17895014","+14832","997","-1","12.249","+10"
"2019-12-12","17904256","+9242","995","-2","12.253","+4"
"2019-12-13","17908290","+4034","998","+3","12.257","+4"
"2019-12-14","17917123","+8833","998","0","12.263","+6"
"2019-12-15","17928188","+11065","998","0","12.270","+7"
"2019-12-16","17935091","+6903","998","0","12.274","+4"
"2019-12-17","17939260","+4169","999","+1","12.278","+4"
"2019-12-18","17948263","+9003","997","-2","12.282","+4"
"2019-12-19","17956008","+7745","997","0","12.289","+7"
"2019-12-20","17961351","+5343","997","0","12.291","+2"
"2019-12-21","17970359","+9008","1000","+3","12.296","+5"
"2019-12-22","17979935","+9576","1000","0","12.302","+6"
"2019-12-23","17987683","+7748","1000","0","12.307","+5"
"2019-12-24","17993218","+5535","998","-2","12.311","+4"
"2019-12-25","18001479","+8261","1001","+3","12.316","+5"
"2019-12-26","18010427","+8948","1002","+1","12.321","+5"
"2019-12-27","18024852","+14425","1002","0","12.328","+7"
"2019-12-28","18032987","+8135","1003","+1","12.333","+5"
"2019-12-29","18047052","+14065","1006","+3","12.337","+4"
"2019-12-30","18057038","+9986","1007","+1","12.340","+3"
"2019-12-31","18071324","+14286","1007","0","12.343","+3"
"2020-01-01","18077505","+6181","1008","+1","12.346","+3"
"2020-01-02","18089238","+11733","1009","+1","12.353","+7"
"2020-01-03","18098843","+9605","1008","-1","12.356","+3"
"2020-01-04","18109724","+10881","1008","0","12.365","+9"
"2020-01-05","18123754","+14030","1008","0","12.367","+2"
"2020-01-06","18137012","+13258","1008","0","12.369","+2"
"2020-01-07","18140698","+3686","1008","0","12.369","-"
"2020-01-08","18159126","+18428","1008","0","12.375","+6"
"2020-01-09","18168478","+9352","1010","+2","12.378","+3"
"2020-01-10","18179951","+11473","1010","0","12.382","+4"
"2020-01-11","18188646","+8695","1011","+1","12.387","+5"
"2020-01-12","18198714","+10068","1014","+3","12.392","+5"
"2020-01-13","18203398","+4684","1017","+3","12.392","-"
"2020-01-14","18217215","+13817","1019","+2","12.399","+7"
"2020-01-15","18226973","+9758","1022","+3","12.406","+7"
"2020-01-17","18237026","+10053","1023","+1","12.410","+4"
"2020-01-18","18246082","+9056","1024","+1","12.413","+3"
"2020-01-19","18255490","+9408","1020","-4","12.415","+2"
"2020-01-20","18261966","+6476","1020","0","12.420","+5"
"2020-01-21","18264658","+2692","1023","+3","12.425","+5"
"2020-01-22","18270635","+5977","1024","+1","12.431","+6"
"2020-01-23","18278393","+7758","1025","+1","12.436","+5"
"2020-01-24","18285310","+6917","1024","-1","12.440","+4"
"2020-01-25","18291749","+6439","1025","+1","12.445","+5"
"2020-01-26","18300938","+9189","1026","+1","12.449","+4"
"2020-01-27","18305356","+4418","1026","0","12.454","+5"
"2020-01-28","18312974","+7618","1028","+2","12.457","+3"
"2020-01-29","18327211","+14237","1029","+1","12.464","+7"
"2020-01-30","18339294","+12083","1032","+3","12.468","+4"
"2020-01-31","18353913","+14619","1032","0","12.471","+3"
"2020-02-01","18363465","+9552","1031","-1","12.476","+5"
"2020-02-02","18372128","+8663","1031","0","12.480","+4"
"2020-02-03","18383249","+11121","1031","0","12.484","+4"
"2020-02-04","18393100","+9851","1031","0","12.487","+3"
"2020-02-06","18408111","+15011","1035","+4","12.495","+8"
"2020-02-07","18416770","+8659","1036","+1","12.499","+4"
"2020-02-08","18425464","+8694","1037","+1","12.503","+4"
"2020-02-09","18434079","+8615","1038","+1","12.507","+4"
"2020-02-10","18437963","+3884","1038","0","12.509","+2"
"2020-02-11","18447049","+9086","1038","0","12.513","+4"
"2020-02-12","18453550","+6501","1027","-11","12.516","+3"
"2020-02-13","18458162","+4612","1029","+2","12.520","+4"
"2020-02-14","18463820","+5658","1029","0","12.524","+4"
"2020-02-15","18471040","+7220","1029","0","12.528","+4"
"2020-02-16","18479067","+8027","1030","+1","12.529","+1"
"2020-02-17","18481126","+2059","1030","0","12.534","+5"
"2020-02-18","18485776","+4650","1031","+1","12.537","+3"
"2020-02-19","18493073","+7297","1033","+2","12.543","+6"
"2020-02-20","18500603","+7530","1033","0","12.550","+7"
"2020-02-21","18510530","+9927","1033","0","12.554","+4"
"2020-02-22","18519845","+9315","1036","+3","12.558","+4"
"2020-02-23","18528624","+8779","1036","0","12.563","+5"
"2020-02-24","18537842","+9218","1037","+1","12.565","+2"
"2020-02-25","18544820","+6978","1039","+2","12.568","+3"
"2020-02-26","18552423","+7603","1041","+2","12.573","+5"
"2020-02-27","18561594","+9171","1044","+3","12.579","+6"
"2020-02-28","18570308","+8714","1045","+1","12.585","+6"
"2020-02-29","18579580","+9272","1046","+1","12.588","+3"
